Participant	Session	Sex	ScanAge	Handness_ChineseEHI
1	1	Female	8.7	NA
1	2	Female	11.4	NA
2	1	Female	6.2	NA
3	1	Male	8.2	R
3	2	Male	10.4	MR
3	3	Male	11.8	R
4	1	Female	6.9	RR
5	1	Male	13.8	MR
6	1	Female	6	RR
7	1	Female	9.8	MR
7	2	Female	12	MR
7	3	Female	13.4	MR
8	1	Female	6	MR
8	2	Female	8.2	MR
8	3	Female	10.1	NA
9	1	Male	9.3	MR
9	2	Male	11.5	MR
10	1	Male	12	MR
10	2	Male	14.6	RR
10	3	Male	16.2	NA
11	1	Male	11.2	RR
12	1	Female	7.3	RR
13	1	Male	9.1	RR
14	1	Male	9.8	MR
14	2	Male	12	MR
15	1	Female	9.8	MR
15	2	Female	12	RR
16	1	Male	7.6	MR
17	1	Female	9.4	NA
18	1	Female	7	MR
18	2	Female	9.2	MR
18	3	Female	10.6	MR
19	1	Male	7.5	NA
19	2	Male	11.6	NA
20	1	Male	6.9	MR
21	1	Female	9.4	MR
21	2	Female	12.5	R
22	1	Female	13	MR
23	1	Male	10.5	MR
23	2	Male	12.6	R
24	1	Female	8.7	RR
24	2	Female	11	RR
24	3	Female	12.4	RR
25	1	Male	6.9	MR
26	1	Male	9.2	MR
26	2	Male	11.4	MR
27	1	Male	6.6	R
27	2	Male	9.1	MR
28	1	Female	13.3	MR
29	1	Female	8.9	MR
30	1	Male	9.6	MR
31	1	Female	6.6	L
32	1	Male	9	MR
32	2	Male	11.2	MR
32	3	Male	12.6	MR
33	1	Female	11.3	MR
34	1	Female	11.3	MR
34	2	Female	13.5	MR
34	3	Female	15.5	NA
35	1	Female	12.7	R
35	2	Female	15.8	RR
36	1	Female	11.3	MR
36	2	Female	13.4	MR
36	3	Female	15.5	NA
37	1	Female	11.2	MR
38	1	Male	9.3	MR
39	1	Female	7.8	MR
40	1	Male	7.2	R
40	2	Male	9.4	MR
40	3	Male	10.9	NA
41	1	Male	11.9	NA
42	1	Male	12.2	MR
43	1	Male	6.2	MR
44	1	Male	7.8	MR
45	1	Female	12.1	MR
45	2	Female	14.2	MR
45	3	Female	15.7	MR
46	1	Male	10.8	RR
47	1	Male	4.7	ML
48	1	Female	14.5	R
49	1	Female	17.4	R
50	1	Male	6.9	MR
50	2	Male	9.5	MR
50	3	Male	11	NA
51	1	Female	18.8	R
52	1	Male	8.5	NA
53	1	Female	9.9	NA
54	1	Female	11.4	ML
54	2	Female	14.4	ML
55	1	Female	18.2	RR
55	2	Female	21.8	RR
56	1	Female	8.9	R
56	2	Female	11.1	R
57	1	Female	NA	NA
58	1	Male	6.3	MR
58	2	Male	8.7	MR
58	3	Male	10.4	NA
59	1	Female	10.1	MR
59	2	Female	13.1	R
60	1	Male	17.7	NA
61	1	Male	17.4	R
62	1	Male	6.4	MR
63	1	Male	8.1	MR
63	2	Male	9.7	NA
64	1	Female	8.9	MR
65	1	Female	11.9	MR
66	1	Male	7.3	MR
66	2	Male	9.5	RR
66	3	Male	10.9	R
67	1	Female	8.9	R
67	2	Female	11	R
67	3	Female	12.4	R
68	1	Male	6.5	MR
68	2	Male	8.9	MR
69	1	Male	6.5	MR
69	2	Male	8.9	M
70	1	Female	16.8	MR
71	1	Male	9.7	MR
71	2	Male	11.9	MR
71	3	Male	13.7	NA
72	1	Female	6.3	MR
72	2	Female	10.3	NA
73	1	Male	9.3	MR
74	1	Male	13	NA
75	1	Male	15.1	M
76	1	Female	7.4	MR
76	2	Female	10.1	MR
77	1	Female	7.1	MR
78	1	Male	11.8	MR
78	2	Male	13.7	MR
78	3	Male	15.4	NA
79	1	Female	9.6	MR
80	1	Male	6	MR
80	2	Male	8	MR
81	1	Female	NA	NA
82	1	Female	7.4	MR
82	2	Female	9.6	MR
83	1	Female	7.6	R
84	1	Female	9.3	R
85	1	Male	10.4	MR
85	2	Male	12.3	MR
85	3	Male	14.1	NA
86	1	Male	6.6	ML
87	1	Male	7.1	MR
87	2	Male	8.9	MR
87	3	Male	10.3	R
88	1	Male	7.3	R
88	2	Male	9.2	MR
89	1	Male	8.7	MR
90	1	Male	11	MR
90	2	Male	12.8	MR
90	3	Male	14.7	NA
91	1	Male	8.1	MR
91	2	Male	10.4	MR
92	1	Male	7.1	MR
93	1	Male	7.4	MR
94	1	Female	5.7	MR
95	1	Female	8.9	MR
95	2	Female	11.6	MR
95	3	Female	12.6	NA
96	1	Female	9.3	MR
97	1	Male	7.2	MR
98	1	Female	9.1	MR
98	2	Female	10.7	MR
99	1	Male	13.4	MR
99	2	Male	14.7	R
99	3	Male	16.4	NA
100	1	Male	9.9	MR
101	1	Male	9	MR
101	2	Male	10.4	RR
101	3	Male	12.4	NA
102	1	Male	8.8	RR
103	1	Male	7.7	MR
103	2	Male	9.2	MR
