Participant	Session	Sex	ScanAge	Handness_ChineseEHI
0001	01	Female	8.7	NA
0001	02	Female	11.4	NA
0002	01	Female	6.2	NA
0003	01	Male	8.2	R
0003	02	Male	10.4	MR
0003	03	Male	11.8	R
0004	01	Female	6.9	RR
0005	01	Male	13.8	MR
0006	01	Female	6	RR
0007	01	Female	9.8	MR
0007	02	Female	12	MR
0007	03	Female	13.4	MR
0008	01	Female	6	MR
0008	02	Female	8.2	MR
0008	03	Female	10.1	NA
0009	01	Male	9.3	MR
0009	02	Male	11.5	MR
0010	01	Male	12	MR
0010	02	Male	14.6	RR
0010	03	Male	16.2	NA
0011	01	Male	11.2	RR
0012	01	Female	7.3	RR
0013	01	Male	9.1	RR
0014	01	Male	9.8	MR
0014	02	Male	12	MR
0015	01	Female	9.8	MR
0015	02	Female	12	RR
0016	01	Male	7.6	MR
0017	01	Female	9.4	NA
0018	01	Female	7	MR
0018	02	Female	9.2	MR
0018	03	Female	10.6	MR
0019	01	Male	7.5	NA
0019	02	Male	11.6	NA
0020	01	Male	6.9	MR
0021	01	Female	9.4	MR
0021	02	Female	12.5	R
0022	01	Female	13	MR
0023	01	Male	10.5	MR
0023	02	Male	12.6	R
0024	01	Female	8.7	RR
0024	02	Female	11	RR
0024	03	Female	12.4	RR
0025	01	Male	6.9	MR
0026	01	Male	9.2	MR
0026	02	Male	11.4	MR
0027	01	Male	6.6	R
0027	02	Male	9.1	MR
0028	01	Female	13.3	MR
0029	01	Female	8.9	MR
0030	01	Male	9.6	MR
0031	01	Female	6.6	L
0032	01	Male	9	MR
0032	02	Male	11.2	MR
0032	03	Male	12.6	MR
0033	01	Female	11.3	MR
0034	01	Female	11.3	MR
0034	02	Female	13.5	MR
0034	03	Female	15.5	NA
0035	01	Female	12.7	R
0035	02	Female	15.8	RR
0036	01	Female	11.3	MR
0036	02	Female	13.4	MR
0036	03	Female	15.5	NA
0037	01	Female	11.2	MR
0038	01	Male	9.3	MR
0039	01	Female	7.8	MR
0040	01	Male	7.2	R
0040	02	Male	9.4	MR
0040	03	Male	10.9	NA
0041	01	Male	11.9	NA
0042	01	Male	12.2	MR
0043	01	Male	6.2	MR
0044	01	Male	7.8	MR
0045	01	Female	12.1	MR
0045	02	Female	14.2	MR
0045	03	Female	15.7	MR
0046	01	Male	10.8	RR
0047	01	Male	4.7	ML
0048	01	Female	14.5	R
0049	01	Female	17.4	R
0050	01	Male	6.9	MR
0050	02	Male	9.5	MR
0050	03	Male	11	NA
0051	01	Female	18.8	R
0052	01	Male	8.5	NA
0053	01	Female	9.9	NA
0054	01	Female	11.4	ML
0054	02	Female	14.4	ML
0055	01	Female	18.2	RR
0055	02	Female	21.8	RR
0056	01	Female	8.9	R
0056	02	Female	11.1	R
0057	01	Female	NA	NA
0058	01	Male	6.3	MR
0058	02	Male	8.7	MR
0058	03	Male	10.4	NA
0059	01	Female	10.1	MR
0059	02	Female	13.1	R
0060	01	Male	17.7	NA
0061	01	Male	17.4	R
0062	01	Male	6.4	MR
0063	01	Male	8.1	MR
0063	02	Male	9.7	NA
0064	01	Female	8.9	MR
0065	01	Female	11.9	MR
0066	01	Male	7.3	MR
0066	02	Male	9.5	RR
0066	03	Male	10.9	R
0067	01	Female	8.9	R
0067	02	Female	11	R
0067	03	Female	12.4	R
0068	01	Male	6.5	MR
0068	02	Male	8.9	MR
0069	01	Male	6.5	MR
0069	02	Male	8.9	M
0070	01	Female	16.8	MR
0071	01	Male	9.7	MR
0071	02	Male	11.9	MR
0071	03	Male	13.7	NA
0072	01	Female	6.3	MR
0072	02	Female	10.3	NA
0073	01	Male	9.3	MR
0074	01	Male	13	NA
0075	01	Male	15.1	M
0076	01	Female	7.4	MR
0076	02	Female	10.1	MR
0077	01	Female	7.1	MR
0078	01	Male	11.8	MR
0078	02	Male	13.7	MR
0078	03	Male	15.4	NA
0079	01	Female	9.6	MR
0080	01	Male	6	MR
0080	02	Male	8	MR
0081	01	Female	NA	NA
0082	01	Female	7.4	MR
0082	02	Female	9.6	MR
0083	01	Female	7.6	R
0084	01	Female	9.3	R
0085	01	Male	10.4	MR
0085	02	Male	12.3	MR
0085	03	Male	14.1	NA
