ROI Label,ROI Name
1,LH_VisCent_ExStr_1
2,LH_VisCent_ExStr_2
3,LH_VisCent_Striate_1
4,LH_VisCent_ExStr_3
5,LH_VisCent_ExStr_4
6,LH_VisCent_ExStr_5
7,LH_VisPeri_ExStrInf_1
8,LH_VisPeri_ExStrInf_2
9,LH_VisPeri_ExStrInf_3
10,LH_VisPeri_StriCal_1
11,LH_VisPeri_ExStrSup_1
12,LH_VisPeri_ExStrSup_2
13,LH_SomMotA_1
14,LH_SomMotA_2
15,LH_SomMotA_3
16,LH_SomMotA_4
17,LH_SomMotA_5
18,LH_SomMotA_6
19,LH_SomMotA_7
20,LH_SomMotA_8
21,LH_SomMotB_Aud_1
22,LH_SomMotB_Aud_2
23,LH_SomMotB_S2_1
24,LH_SomMotB_S2_2
25,LH_SomMotB_Aud_3
26,LH_SomMotB_S2_3
27,LH_SomMotB_Cent_1
28,LH_SomMotB_Cent_2
29,LH_DorsAttnA_TempOcc_1
30,LH_DorsAttnA_TempOcc_2
31,LH_DorsAttnA_ParOcc_1
32,LH_DorsAttnA_SPL_1
33,LH_DorsAttnA_SPL_2
34,LH_DorsAttnA_SPL_3
35,LH_DorsAttnB_PostC_1
36,LH_DorsAttnB_PostC_2
37,LH_DorsAttnB_PostC_3
38,LH_DorsAttnB_PostC_4
39,LH_DorsAttnB_FEF_1
40,LH_SalVentAttnA_ParOper_1
41,LH_SalVentAttnA_Ins_1
42,LH_SalVentAttnA_FrOper_1
43,LH_SalVentAttnA_FrOper_2
44,LH_SalVentAttnA_ParMed_1
45,LH_SalVentAttnA_FrMed_1
46,LH_SalVentAttnA_FrMed_2
47,LH_SalVentAttnB_IPL_1
48,LH_SalVentAttnB_PFCl_1
49,LH_SalVentAttnB_Ins_1
50,LH_SalVentAttnB_PFCmp_1
51,LH_LimbicB_OFC_1
52,LH_LimbicB_OFC_2
53,LH_LimbicA_TempPole_1
54,LH_LimbicA_TempPole_2
55,LH_LimbicA_TempPole_3
56,LH_LimbicA_TempPole_4
57,LH_ContA_Temp_1
58,LH_ContA_IPS_1
59,LH_ContA_IPS_2
60,LH_ContA_IPS_3
61,LH_ContA_PFCd_1
62,LH_ContA_PFClv_1
63,LH_ContA_PFCl_1
64,LH_ContA_PFCl_2
65,LH_ContA_PFCl_3
66,LH_ContA_Cingm_1
67,LH_ContB_Temp_1
68,LH_ContB_IPL_1
69,LH_ContB_PFCl_1
70,LH_ContB_PFClv_1
71,LH_ContB_PFClv_2
72,LH_ContC_pCun_1
73,LH_ContC_pCun_2
74,LH_ContC_Cingp_1
75,LH_DefaultA_IPL_1
76,LH_DefaultA_PFCd_1
77,LH_DefaultA_pCunPCC_1
78,LH_DefaultA_pCunPCC_2
79,LH_DefaultA_pCunPCC_3
80,LH_DefaultA_PFCm_1
81,LH_DefaultA_PFCm_2
82,LH_DefaultA_PFCm_3
83,LH_DefaultB_Temp_1
84,LH_DefaultB_Temp_2
85,LH_DefaultB_Temp_3
86,LH_DefaultB_Temp_4
87,LH_DefaultB_IPL_1
88,LH_DefaultB_PFCd_1
89,LH_DefaultB_PFCd_2
90,LH_DefaultB_PFCd_3
91,LH_DefaultB_PFCd_4
